state,count,date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,percentage,Unnamed: 0_x,Year,ID,Name,Poverty Universe,Number in Poverty,90% Confidence Interval,Percent in Poverty,90% Confidence Interval.1,Unnamed: 0_y,State,Total_Population,Numbers_of_Deaths_with_Population_Factor,Poverty_with_Population_Factor,Log Poverty,Log Killings
MD,15,2015,shot,vehicle,19.0,M,B,Baltimore,False,other,Not fleeing,False,1.513622603430878,229,2015,24000,MD,5863287,583369,"568,336 to 598,402",9.9,9.6 to 10.2,20,MD,4900011,3.0612176176747357e-06,0.1190546306936862,0.1190546306936862,3.0612176176747357e-06
ME,2,2015,shot,gun,23.0,M,W,Bangor,False,attack,Foot,False,0.201816347124117,228,2015,23000,ME,1292986,171266,"164,985 to 177,547",13.2,12.7 to 13.7,21,ME,619594,3.227920218723874e-06,0.2764164920899815,0.2764164920899815,3.227920218723874e-06
MI,16,2015,shot,gun,17.0,M,W,Detroit,False,attack,Not fleeing,False,1.6145307769929365,231,2015,26000,MI,9698423,1524330,"1,502,565 to 1,546,095",15.7,15.5 to 15.9,22,MI,5524778,2.896043967739518e-06,0.2759079188340237,0.2759079188340237,2.896043967739518e-06
MN,12,2015,shot,gun,24.0,M,W,St. Paul,False,attack,Not fleeing,False,1.2108980827447022,232,2015,27000,MN,5366578,546499,"534,759 to 558,239",10.2,10.0 to 10.4,23,MN,4482289,2.677203544885214e-06,0.12192408833968538,0.12192408833968538,2.677203544885214e-06
MO,21,2015,shot,gun,23.0,M,W,St. Louis,False,attack,Not fleeing,False,2.119071644803229,234,2015,29000,MO,5901975,875704,"859,879 to 891,529",14.8,14.5 to 15.1,24,MO,4245734,4.946141232587817e-06,0.20625503152105149,0.20625503152105149,4.946141232587817e-06
MS,8,2015,shot,gun,49.0,M,W,Barton,False,attack,Not fleeing,False,0.8072653884964682,233,2015,28000,MS,2896612,638919,"624,971 to 652,867",22.1,21.6 to 22.6,25,MS,1650074,4.848267411037323e-06,0.38720627074906944,0.38720627074906944,4.848267411037323e-06
MT,4,2015,shot,gun,22.0,M,W,Billings,False,attack,Not fleeing,False,0.4036326942482341,235,2015,30000,MT,1007722,144634,"139,500 to 149,768",14.4,13.9 to 14.9,26,MT,705601,5.668926206170343e-06,0.20497986822581032,0.20497986822581032,5.668926206170343e-06
NC,23,2015,shot,gun,18.0,M,W,Gastonia,False,attack,Not fleeing,False,2.320887991927346,242,2015,37000,NC,9790028,1607249,"1,584,462 to 1,630,036",16.4,16.2 to 16.6,27,NC,5883931,3.90895134562251e-06,0.27315904962175797,0.27315904962175797,3.90895134562251e-06
ND,1,2015,shot,gun,31.0,M,N,Wood Lake,False,attack,Not fleeing,False,0.1009081735620585,243,2015,38000,ND,731319,78613,"74,610 to 82,616",10.7,10.2 to 11.2,28,ND,571748,1.7490222965362363e-06,0.13749588979760313,0.13749588979760313,1.7490222965362363e-06
NE,8,2015,shot,gun,39.0,M,W,Omaha,False,attack,Not fleeing,False,0.8072653884964682,236,2015,31000,NE,1842687,224696,"217,304 to 232,088",12.2,11.8 to 12.6,29,NE,1475367,5.422379651978118e-06,0.1522983772851094,0.1522983772851094,5.422379651978118e-06
NH,3,2015,shot,knife,23.0,M,W,Bath,True,other,Not fleeing,False,0.3027245206861755,238,2015,33000,NH,1288048,108293,"102,000 to 114,586",8.4,7.9 to 8.9,30,NH,627658,4.779673006637373e-06,0.17253504296926034,0.17253504296926034,4.779673006637373e-06
NJ,15,2015,shot,knife,24.0,M,W,Camden,False,attack,Not fleeing,False,1.513622603430878,239,2015,34000,NJ,8781579,945989,"926,421 to 965,557",10.8,10.6 to 11.0,31,NJ,5354828,2.8012104216979517e-06,0.1766609497074416,0.1766609497074416,2.8012104216979517e-06
NM,20,2015,shot,gun,34.0,M,H,Albuquerque,False,attack,Not fleeing,False,2.0181634712411705,240,2015,35000,NM,2044455,405364,"394,894 to 415,834",19.8,19.3 to 20.3,32,NM,1736918,1.1514648359911061e-05,0.23338119588834935,0.23338119588834935,1.1514648359911061e-05
NV,19,2015,shot,gun,36.0,M,W,Las Vegas,False,attack,Not fleeing,False,1.917255297679112,237,2015,32000,NV,2850466,424824,"412,817 to 436,831",14.9,14.5 to 15.3,33,NV,2646336,7.179738324989721e-06,0.16053290285133862,0.16053290285133862,7.179738324989721e-06
NY,19,2015,shot,gun,38.0,M,W,Queens,False,attack,Not fleeing,False,1.917255297679112,241,2015,36000,NY,19283863,2985604,"2,951,419 to 3,019,789",15.5,15.3 to 15.7,34,NY,15995830,1.1878095728699292e-06,0.18664889536835538,0.18664889536835538,1.1878095728699292e-06
OH,29,2015,shot,gun,22.0,M,W,Columbus,False,attack,Not fleeing,False,2.9263370332996974,244,2015,39000,OH,11295380,1670487,"1,646,455 to 1,694,519",14.8,14.6 to 15.0,35,OH,8151970,3.557422316323539e-06,0.2049181976871848,0.2049181976871848,3.557422316323539e-06
OK,32,2015,shot,gun,20.0,M,W,Oklahoma City,False,attack,Not fleeing,False,3.229061553985873,245,2015,40000,OK,3795734,608507,"597,199 to 619,815",16.0,15.7 to 16.3,36,OK,3010414,1.0629767201454683e-05,0.20213399220173703,0.20213399220173703,1.0629767201454683e-05
OR,15,2015,shot,gun,49.0,M,W,Portland,False,attack,Not fleeing,False,1.513622603430878,246,2015,41000,OR,3952049,601626,"586,548 to 616,704",15.2,14.8 to 15.6,37,OR,3137450,4.780952684504932e-06,0.19175636265119764,0.19175636265119764,4.780952684504932e-06
PA,18,2015,shot,gun,20.0,M,B,Allentown,False,attack,Not fleeing,False,1.8163471241170532,247,2015,42000,PA,12385763,1624991,"1,600,900 to 1,649,082",13.1,12.9 to 13.3,38,PA,7094608,2.5371380631600786e-06,0.22904591768847554,0.22904591768847554,2.5371380631600786e-06
SC,19,2015,shot,gun,24.0,M,W,Irmo,False,attack,Not fleeing,False,1.917255297679112,249,2015,45000,SC,4750107,796609,"779,482 to 813,736",16.8,16.4 to 17.2,41,SC,2235980,8.497392642152434e-06,0.35626839238275837,0.35626839238275837,8.497392642152434e-06
SD,3,2015,shot,gun,31.0,M,W,Lead,True,attack,Not fleeing,False,0.3027245206861755,250,2015,46000,SD,829616,111697,"106,789 to 116,605",13.5,12.9 to 14.1,42,SD,645276,4.649173376973574e-06,0.1730995728959391,0.1730995728959391,4.649173376973574e-06
TN,20,2015,shot,gun,24.0,M,W,Chattanooga,False,attack,Not fleeing,False,2.0181634712411705,251,2015,47000,TN,6440331,1077866,"1,057,666 to 1,098,066",16.7,16.4 to 17.0,43,TN,4073428,4.909869525127239e-06,0.26460907127853983,0.26460907127853983,4.909869525127239e-06
TX,98,2015,shot,gun,31.0,M,W,Houston,False,attack,Not fleeing,False,9.889001009081737,252,2015,48000,TX,26846185,4255690,"4,207,517 to 4,303,863",15.9,15.7 to 16.1,44,TX,20852774,4.699614545287836e-06,0.20408267983914274,0.20408267983914274,4.699614545287836e-06
UT,10,2015,shot,gun,24.0,M,W,Salt Lake City,False,attack,Not fleeing,False,1.0090817356205852,253,2015,49000,UT,2947857,331233,"320,622 to 341,844",11.2,10.8 to 11.6,45,UT,2781752,3.5948567665269944e-06,0.1190735191347036,0.1190735191347036,3.5948567665269944e-06
VA,18,2015,shot,gun,23.0,M,B,Portsmouth,False,attack,Not fleeing,False,1.8163471241170532,255,2015,51000,VA,8131331,914226,"895,213 to 933,239",11.2,11.0 to 11.4,46,VA,5651340,3.1850853072014778e-06,0.16177154444786546,0.16177154444786546,3.1850853072014778e-06
VT,1,2015,shot,gun,56.0,M,W,Burlington,False,attack,Not fleeing,True,0.1009081735620585,254,2015,50000,VT,600659,62643,"59,418 to 65,868",10.4,9.9 to 10.9,47,VT,242597,4.122062515200105e-06,0.2582183621396802,0.2582183621396802,4.122062515200105e-06
WA,16,2015,shot,gun,35.0,M,W,Seattle,True,attack,Not fleeing,False,1.6145307769929365,256,2015,53000,WA,7036738,860734,"842,651 to 878,817",12.2,11.9 to 12.5,48,WA,5788355,2.764170476758941e-06,0.1487009694464144,0.1487009694464144,2.764170476758941e-06
WI,11,2015,shot,gun,25.0,M,W,Ashwaubenon,False,attack,Not fleeing,False,1.109989909182644,258,2015,55000,WI,5620187,679937,"666,924 to 692,950",12.1,11.9 to 12.3,49,WI,4210730,2.6123736264258217e-06,0.16147722603919035,0.16147722603919035,2.6123736264258217e-06
WV,10,2015,shot,gun,33.0,M,W,Morgantown,False,attack,Not fleeing,False,1.0090817356205852,257,2015,54000,WV,1793098,322589,"313,401 to 331,777",18.0,17.5 to 18.5,50,WV,808730,1.236506621492958e-05,0.39888343452079184,0.39888343452079184,1.236506621492958e-05
WY,6,2015,shot,gun,39.0,M,W,Casper,False,attack,Not fleeing,False,0.6054490413723511,259,2015,56000,WY,572327,60787,"56,709 to 64,865",10.6,9.9 to 11.3,51,WY,453761,1.3222819942657038e-05,0.13396259264238222,0.13396259264238222,1.3222819942657038e-05
